Iteration 293: x = -2.362348, y = -2.362348, f(x, y) = 44.135837
Iteration 294: x = -1.836935, y = -1.836935, f(x, y) = 16.359251
Iteration 295: x = -2.337088, y = -2.337088, f(x, y) = 41.329700
Iteration 296: x = -1.753767, y = -1.753767, f(x, y) = 25.678043
Iteration 297: x = -2.346834, y = -2.346834, f(x, y) = 42.446834
Iteration 298: x = -1.784333, y = -1.784333, f(x, y) = 22.086708
Iteration 299: x = -2.362402, y = -2.362402, f(x, y) = 44.141470
Iteration 300: x = -1.837125, y = -1.837125, f(x, y) = 16.340266
Iteration 301: x = -2.336884, y = -2.336884, f(x, y) = 41.305928
Iteration 302: x = -1.753150, y = -1.753150, f(x, y) = 25.751298
Iteration 303: x = -2.346282, y = -2.346282, f(x, y) = 42.384640
Iteration 304: x = -1.782548, y = -1.782548, f(x, y) = 22.293257
Iteration 305: x = -2.362122, y = -2.362122, f(x, y) = 44.112097
Iteration 306: x = -1.836136, y = -1.836136, f(x, y) = 16.439316
Iteration 307: x = -2.337936, y = -2.337936, f(x, y) = 41.428586
Iteration 308: x = -1.756350, y = -1.756350, f(x, y) = 25.371741
Iteration 309: x = -2.349042, y = -2.349042, f(x, y) = 42.694067
Iteration 310: x = -1.791526, y = -1.791526, f(x, y) = 21.259806
Iteration 311: x = -2.362748, y = -2.362748, f(x, y) = 44.177806
Iteration 312: x = -1.838353, y = -1.838353, f(x, y) = 16.217914
Iteration 313: x = -2.335549, y = -2.335549, f(x, y) = 41.149712
Iteration 314: x = -1.749124, y = -1.749124, f(x, y) = 26.228957
Iteration 315: x = -2.342450, y = -2.342450, f(x, y) = 41.949403
Iteration 316: x = -1.770341, y = -1.770341, f(x, y) = 23.719054
Iteration 317: x = -2.358128, y = -2.358128, f(x, y) = 43.687883
Iteration 318: x = -1.822161, y = -1.822161, f(x, y) = 17.880077
Iteration 319: x = -2.350553, y = -2.350553, f(x, y) = 42.862048
Iteration 320: x = -1.796508, y = -1.796508, f(x, y) = 20.693370
Iteration 321: x = -2.362260, y = -2.362260, f(x, y) = 44.126580
Iteration 322: x = -1.836624, y = -1.836624, f(x, y) = 16.390461
Iteration 323: x = -2.337420, y = -2.337420, f(x, y) = 41.368509
Iteration 324: x = -1.754778, y = -1.754778, f(x, y) = 25.558133
Iteration 325: x = -2.347718, y = -2.347718, f(x, y) = 42.546072
Iteration 326: x = -1.787201, y = -1.787201, f(x, y) = 21.755866
Iteration 327: x = -2.362689, y = -2.362689, f(x, y) = 44.171660
Iteration 328: x = -1.838145, y = -1.838145, f(x, y) = 16.238595
Iteration 329: x = -2.335777, y = -2.335777, f(x, y) = 41.176487
Iteration 330: x = -1.749810, y = -1.749810, f(x, y) = 26.147555
Iteration 331: x = -2.343132, y = -2.343132, f(x, y) = 42.027262
Iteration 332: x = -1.772489, y = -1.772489, f(x, y) = 23.466723
Iteration 333: x = -2.359096, y = -2.359096, f(x, y) = 43.791385
Iteration 334: x = -1.825518, y = -1.825518, f(x, y) = 17.527229
Iteration 335: x = -2.347912, y = -2.347912, f(x, y) = 42.567790
Iteration 336: x = -1.787832, y = -1.787832, f(x, y) = 21.683265
Iteration 337: x = -2.362726, y = -2.362726, f(x, y) = 44.175500
Iteration 338: x = -1.838275, y = -1.838275, f(x, y) = 16.225672
Iteration 339: x = -2.335635, y = -2.335635, f(x, y) = 41.159774
Iteration 340: x = -1.749382, y = -1.749382, f(x, y) = 26.198390
Iteration 341: x = -2.342708, y = -2.342708, f(x, y) = 41.978819
Iteration 342: x = -1.771151, y = -1.771151, f(x, y) = 23.623869
Iteration 343: x = -2.358506, y = -2.358506, f(x, y) = 43.728382
Iteration 344: x = -1.823471, y = -1.823471, f(x, y) = 17.741946
Iteration 345: x = -2.349552, y = -2.349552, f(x, y) = 42.750944
Iteration 346: x = -1.793204, y = -1.793204, f(x, y) = 21.068391
Iteration 347: x = -2.362650, y = -2.362650, f(x, y) = 44.167508
Iteration 348: x = -1.838004, y = -1.838004, f(x, y) = 16.252570
Iteration 349: x = -2.335931, y = -2.335931, f(x, y) = 41.194494
Iteration 350: x = -1.750272, y = -1.750272, f(x, y) = 26.092700
Iteration 351: x = -2.343584, y = -2.343584, f(x, y) = 42.078868
Iteration 352: x = -1.773922, y = -1.773922, f(x, y) = 23.298787
Iteration 353: x = -2.359678, y = -2.359678, f(x, y) = 43.853429
Iteration 354: x = -1.827547, y = -1.827547, f(x, y) = 17.316027
Iteration 355: x = -2.346195, y = -2.346195, f(x, y) = 42.374860
Iteration 356: x = -1.782269, y = -1.782269, f(x, y) = 22.325677
Iteration 357: x = -2.362072, y = -2.362072, f(x, y) = 44.106753
Iteration 358: x = -1.835957, y = -1.835957, f(x, y) = 16.457349
Iteration 359: x = -2.338125, y = -2.338125, f(x, y) = 41.450557
Iteration 360: x = -1.756927, y = -1.756927, f(x, y) = 25.303345
Iteration 361: x = -2.349512, y = -2.349512, f(x, y) = 42.746480
Iteration 362: x = -1.793072, y = -1.793072, f(x, y) = 21.083429
Iteration 363: x = -2.362660, y = -2.362660, f(x, y) = 44.168574
Iteration 364: x = -1.838040, y = -1.838040, f(x, y) = 16.248980
